,Job Title,Company,Location,Job Url,Unnamed: 0
508,Senior Spatial Data and Mapping Analyst,Fund For Public Health In New York Inc,"Long Island City, NY",https://www.indeed.com/rc/clk?jk=8c608a52e55e50d8&fccid=c6b5143eab3dbe34&vjs=3,
509,CRM Analyst,Squarespace,"New York, NY",https://www.indeed.com/rc/clk?jk=1d63e5ea1c8ca7b3&fccid=10c1f2532daaed15&vjs=3,
510,QA Engineer Intern,Numerix,"New York, NY",https://www.indeed.com/rc/clk?jk=86477372aec32c1e&fccid=bea74927fd353048&vjs=3,
511,"Sr. Data Engineer (AWS, Python, Airflow & R) - Open to Remote Employment",Medidata Solutions,"New York, NY",https://www.indeed.com/rc/clk?jk=a41b5069bf9e4722&fccid=3e34ac4ae73849ba&vjs=3,
512,Vice President,Morgan Stanley,"New York, NY",https://www.indeed.com/rc/clk?jk=829408e50e294e47&fccid=0c39fb2c91742dcf&vjs=3,
513,Data Engineer,Bloomberg,"New York, NY",https://www.indeed.com/rc/clk?jk=1f0cca28b0e7076c&fccid=f770da67b3b51c62&vjs=3,
514,"Clinical Data Analyst, HBN",Child Mind Institute,"New York, NY",https://www.indeed.com/rc/clk?jk=cf479b26c478aa10&fccid=ce06339e6f22b214&vjs=3,
515,"Clinical Data Analyst, HBN",Child Mind Institute,"New York, NY",https://www.indeed.com/rc/clk?jk=cf479b26c478aa10&fccid=ce06339e6f22b214&vjs=3,
516,Applied Researcher,eBay Inc.,"New York, NY",https://www.indeed.com/rc/clk?jk=6f6b30a114b01d30&fccid=0da3ed18c20a248d&vjs=3,
517,Senior Staff Associate/Staff Associate,Columbia University,"New York, NY",https://www.indeed.com/rc/clk?jk=ff5672aeb96fe0d5&fccid=bd976cc171c690e0&vjs=3,
518,"Quantitative Business Analyst, Analytics and Decision Support, YouTube",YouTube,"New York, NY",https://www.indeed.com/rc/clk?jk=7af103197a23298c&fccid=a9021c35fcef6968&vjs=3,
519,Quantitative Researcher - Event-Driven Trading,"Two Sigma Investments, LLC.","New York, NY",https://www.indeed.com/rc/clk?jk=cfbd824ffca77445&fccid=facc18fe475dac15&vjs=3,
520,Product Development Manager,Dealer Innovations,"Queens, NY",https://www.indeed.com/company/Dealer-Innovations/jobs/Product-Development-Manager-201dcf8f0eb87545?fccid=f8f694e2f1e66b82&vjs=3,
521,C++ Developer (Associate),Alpha Beta Investments,"New York, NY",https://www.indeed.com/rc/clk?jk=926ef0befeaa8130&fccid=4f36cf717ed1367b&vjs=3,
522,Marketing Analyst,Duolingo,"New York, NY",https://www.indeed.com/rc/clk?jk=a7fa987df441ade0&fccid=1d7146bd38091a7a&vjs=3,
523,"Data Associate, PELE",New York University,"New York, NY",https://www.indeed.com/rc/clk?jk=37e53635ddb31469&fccid=8077183a161ef0fd&vjs=3,
524,"Manager, Data Insights",Consumer Reports,"Yonkers, NY",https://www.indeed.com/rc/clk?jk=cd23194443d5f797&fccid=adea62ae96d0c2c1&vjs=3,
525,Senior Data Scientist,Veeva Systems,"New York, NY",https://www.indeed.com/rc/clk?jk=9fb39c4eda97eb5e&fccid=353eb997fc901045&vjs=3,
526,"Senior Data Analyst, Product",K Health,"New York, NY",https://www.indeed.com/rc/clk?jk=a23bc91c69e99f8e&fccid=c853f7a628ce4b9a&vjs=3,
527,Data Scientist – Financial Research,CRISIL LIMITED,"New York, NY",https://www.indeed.com/company/CRISIL-LIMITED/jobs/Data-Scientist-Financial-Research-c13f93e1cd410da6?fccid=07960deccb500f33&vjs=3,
528,Director of Data Analytics,TelTech,"New York, NY",https://www.indeed.com/rc/clk?jk=8e12bb2bfc96a0d7&fccid=dc696694435183e3&vjs=3,
529,Research Scientist (Professors Andrés Sarto and Olivier Wang),New York University,"New York, NY",https://www.indeed.com/rc/clk?jk=4dd7ed1e4d43ae59&fccid=8077183a161ef0fd&vjs=3,
530,"Senior Scientist, Algorithms R&D",Quantum-Si,"New York, NY",https://www.indeed.com/rc/clk?jk=4f493233ee9a1b29&fccid=d51c8ee61fe1d3e1&vjs=3,
531,Full Stack Python Developer with Django NEW,NetCom Learning,"New York, NY",https://www.indeed.com/rc/clk?jk=44de6dc964947e03&fccid=7430123989f080fa&vjs=3,
532,Sr. Python Developer,"Jarvis Cole, Inc.","New York, NY",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BeqOXt1Ki4TgaqVzKgHyO684REiCAwMDt6QdkLJMyKFE4U8Gf44T3q6743LZi-2_p_XCppDVPFs_FE2Xe2i0aRPBH6weWkKtIUf_Grrt4Tj3ow6iUFIA2-9QmoH_gPNOf2__-lLNGwseqX1elCdYJ1hce2brqEDZaSa58An80ireaDm0r6mRI_g90Ad4adBQ1M9Ima0OmoVTdSp-_M02WBd9UCevE5AK2Rqe-h5h1wZCk4o1TNsenVKDY8vgXGZVHOV7XfXZXjr9g0I6I-pvkIolvCDIxKB-OfGOVXfHJoLEw4SXYagbvMzbfJXme-ooURa-mARcioT57PeHlhFwo8HbB1qH9rWFUxjN7SdD0GEJ8598ChKQENpqwm2eZt4MWAW0eE34AJCO2WzjGaderNcAaA0tBzFj1AOO8itq4IvgrlfEfcDDRQEb5aIueSrYPu7Jn3qVz7Cw==&p=2&fvj=1&vjs=3,
533,Junior Software Engineer,Metro Group,"Long Island City, NY",https://www.indeed.com/rc/clk?jk=bda056200575a0ef&fccid=5eb16c6eab3dc5ef&vjs=3,
534,Blackstone Data Science - Private Equity Associate,Blackstone Group,"New York, NY",https://www.indeed.com/rc/clk?jk=1493128fcca127b4&fccid=73674b8cb10d94bb&vjs=3,
535,Strategy & Analysis Manager,SmartHop,"New York, NY",https://www.indeed.com/rc/clk?jk=7b28e894b73f9f83&fccid=59830f502003a845&vjs=3,
536,Software Engineer,Handy,"New York, NY",https://www.indeed.com/rc/clk?jk=f3ef98cd369d6c52&fccid=776da434b5044af7&vjs=3,
537,Data Engineer - Supply Chain,Mount Sinai,"New York, NY",https://www.indeed.com/rc/clk?jk=66ad07c3f5ea21b5&fccid=c007936ceb766fe5&vjs=3,
538,Principal Engineer - Remote,Prognos,"New York, NY",https://www.indeed.com/rc/clk?jk=4fff69a2d4a77ad7&fccid=ff9351c2a6df2c4a&vjs=3,
539,Data Analytics Instructors,Research Foundation of The City University of New...,"New York, NY",https://www.indeed.com/rc/clk?jk=495fcf23808ac9d0&fccid=667ba717ce627077&vjs=3,
540,Data Scientist,WorkFusion,"New York, NY",https://www.indeed.com/rc/clk?jk=c29bd2f7e2a5d7bc&fccid=b480584f7bee501e&vjs=3,
541,Risk Operations,Ramp,"New York, NY",https://www.indeed.com/rc/clk?jk=f5cd1a441cd9f1b6&fccid=c5a99dfabd909b70&vjs=3,
