,Job Title,Company,Location,Job Url
23,AI Specialist / Machine Learning Engineer (m/w/d),CompuGroup Medical SE & Co. KGaA,"Berlin, Bundesweit, Homeoffice",https://jobs.github.com/positions/cae9d1fc-4b4f-44b6-b4c0-c90091d5f5e0
24,Trase Data Visualisation Lead,Global Canopy,Oxford,https://jobs.github.com/positions/5e930ad4-7f88-4084-8c1d-c90eb4ecc700
25,"Full Stack Developer, 3D printing industry",3devo B.V.,"Utrecht, Netherlands",https://jobs.github.com/positions/e64e33c0-1410-440d-8346-e7a5916676bf
26,Lead Software Engineer,PGGM,Zeist,https://jobs.github.com/positions/16232c9a-9d05-4903-9353-fb91bd16b81d
27,Software Engineer,Secureframe,San Francisco or Remote,https://jobs.github.com/positions/7cbcbf10-f5ed-4f80-b2dd-7e565c9dd9af
28,Senior JavaScript Fullstack Developer ,Neteffects,St. Louis MO,https://jobs.github.com/positions/d5a837e4-d338-4f6b-ad98-c492c54a7021
29,AI Specialist / Machine Learning Engineer (m/w/d),"Element 84, Inc.",Remote,https://jobs.github.com/positions/ef8c071c-10bd-4ef0-8b4d-c530da2988ce
30,Senior full-stack .NET developer,Wordwall,Remote,https://jobs.github.com/positions/0f2c5945-ee62-4c8e-a681-a5811205b368
31,PHP Backend Developer (m/f/d),zolar,Berlin,https://jobs.github.com/positions/da9a9586-0fe3-42f3-a59d-3c9ab7fa4deb
32,Full-Stack-Entwickler (m/w/d) docmetric,CompuGroup Medical SE & Co. KGaA,Berlin,https://jobs.github.com/positions/ab550929-cf41-456a-9bd4-009ff81ed39b
33,Systemadministrator:in für Linux,MANDARIN MEDIEN Gesellschaft für digitale Lösungen mbH,Schwerin,https://jobs.github.com/positions/68a91f14-bbfb-4343-a0e0-0c0ab384f0ef
34,Systemadministrator:in,MANDARIN MEDIEN Gesellschaft für digitale Lösungen mbH,Schwerin,https://jobs.github.com/positions/3907b1f6-426d-4de4-8137-f9c5f320f121
